customer_id,age,gender,locality,platform,monthly_orders,avg_order_value,monthly_spend,avg_delivery_time_min,num_categories_ordered,reorder_rate,discount_usage_pct,app_sessions_per_week,ratings_given,complaints_filed,membership,preferred_category,preferred_payment,preferred_time_slot,days_since_last_order,tenure_months,cluster,pca1,pca2,segment
CUST0001,28,Male,Mylapore,Zepto,14,547.2,7660.8,21.6,2,0.55,41.4,7.6,0,2,1,Groceries,UPI,Morning (6-10am),1,7,0,0.9041041647687746,-0.053093907356475976,💎 Premium Loyalists
CUST0002,58,Male,OMR,Zepto,24,632.66,11387.88,16.6,6,0.21,23.8,2.7,21,5,1,Household Items,Debit Card,Afternoon (12-4pm),5,8,0,2.8208212267098047,1.5333358265406447,💎 Premium Loyalists
CUST0003,35,Female,OMR,Blinkit,12,151.5,1818.0,17.3,3,0.54,62.7,10.1,17,0,1,Snacks & Beverages,Wallet,Morning (6-10am),14,17,3,-1.6200533612074177,-0.22668212592407827,⭐ Regular Mainstream
CUST0004,28,Male,Sholinganallur,Zepto,14,367.29,5142.06,15.8,4,0.79,21.4,10.0,4,5,1,Dairy & Eggs,Debit Card,Morning (6-10am),2,30,3,0.003197040144246974,-0.4340452199715896,⭐ Regular Mainstream
CUST0005,22,Male,Chromepet,Zepto,10,589.46,5894.6,17.1,6,0.37,28.6,12.3,15,5,1,Fruits & Vegetables,UPI,Evening (4-8pm),0,14,3,0.4730644768851061,2.0540324703249384,⭐ Regular Mainstream
CUST0006,22,Female,Velachery,Blinkit,11,604.95,2419.8,13.2,1,0.79,52.1,7.6,1,2,1,Household Items,UPI,Morning (6-10am),0,33,3,-0.21959468564385126,-1.0398866130697155,⭐ Regular Mainstream
CUST0007,22,Male,Guindy,Zepto,9,686.21,1372.42,12.3,5,0.89,64.2,1.9,8,0,1,Fruits & Vegetables,Debit Card,Morning (6-10am),16,24,3,-0.5463507941710729,-1.4996541862181185,⭐ Regular Mainstream
CUST0008,45,Female,Velachery,Zepto,11,438.49,4823.39,23.0,2,0.49,48.7,6.1,1,1,1,Household Items,Credit Card,Evening (4-8pm),7,7,3,-0.25143714768345937,-0.42196708349334466,⭐ Regular Mainstream
CUST0009,35,Male,Nungambakkam,Zepto,14,409.92,5738.88,17.0,2,0.75,18.3,6.0,4,4,1,Snacks & Beverages,Credit Card,Morning (6-10am),12,15,3,0.16859970803775798,-1.1621577965168302,⭐ Regular Mainstream
CUST0010,35,Male,Porur,Blinkit,11,139.57,1535.27,23.8,3,0.58,61.5,7.5,19,5,1,Household Items,Credit Card,Morning (6-10am),6,25,3,-1.6221456622776385,1.1130004829191475,⭐ Regular Mainstream
CUST0011,22,Male,Ambattur,Blinkit,7,611.68,1835.04,21.0,6,0.65,14.9,8.5,26,3,1,Groceries,UPI,Night (8-11pm),2,17,3,-0.6836275908554248,1.1065432555166306,⭐ Regular Mainstream
